name,author,narrator,time,releasedate,language,stars,price
"Stroll and Walk, Babble and Talk",Writtenby:BrianP.Cleary,Narratedby:Intuitive,2 mins,05-05-17,English,Not rated yet,164.00
Let's Meet a Firefighter,Writtenby:GinaBellisario,Narratedby:Intuitive,5 mins,24-04-17,English,Not rated yet,164.00
Madam and Nun and 1001,Writtenby:BrianP.Cleary,Narratedby:Intuitive,2 mins,08-05-17,English,Not rated yet,164.00
A-B-A-B-A - a Book of Pattern Play,Writtenby:BrianP.Cleary,Narratedby:Intuitive,3 mins,24-04-17,English,Not rated yet,164.00
Let's Meet a Teacher,Writtenby:BridgetHeos,Narratedby:Intuitive,5 mins,24-04-17,English,Not rated yet,164.00
Let's Meet a Construction Worker,Writtenby:BridgetHeos,Narratedby:Intuitive,4 mins,24-04-17,English,Not rated yet,164.00
Cool! Whoa! Ah and Oh!,Writtenby:BrianP.Cleary,Narratedby:Intuitive,3 mins,19-04-17,English,Not rated yet,164.00
"I'm and Won't, They're and Don't",Writtenby:BrianP.Cleary,Narratedby:Intuitive,3 mins,10-05-17,English,Not rated yet,164.00
Let's Make a Bar Graph,Writtenby:RobinNelson,Narratedby:Intuitive,1 min,24-04-17,English,Not rated yet,164.00
"Feet and Puppies, Thieves and Guppies",Writtenby:BrianP.Cleary,Narratedby:Intuitive,2 mins,08-05-17,English,Not rated yet,164.00
Let's Make a Circle Graph,Writtenby:RobinNelson,Narratedby:Intuitive,2 mins,25-04-17,English,Not rated yet,164.00
Los Tres Documentos que Hicieron América [The Three Documents That Made America],Writtenby:SamFink-introduction,Narratedby:ReynaldoInfante,1 hr and 23 mins,01-06-12,spanish,Not rated yet,333.00
Rush Hour Ingles,Writtenby:HowardBeckerman,Narratedby:HowardBeckerman,2 hrs and 32 mins,25-03-04,spanish,Not rated yet,585.00
"20,000 Leagues Under the Sea",Writtenby:JulesVerne,Narratedby:JohnCarlisle,2 hrs and 37 mins,16-07-03,English,Not rated yet,333.00
I and You and Don't Forget Who,Writtenby:BrianP.Cleary,Narratedby:Intuitive,3 mins,18-04-17,English,5 out of 5 stars1 rating,164.00
"Pitch and Throw, Grasp and Know",Writtenby:BrianP.Cleary,Narratedby:BookBuddyDigitalMedia,2 mins,19-04-17,English,Not rated yet,164.00
Den motvillige draken,Writtenby:KennethGrahame,Narratedby:TorstenWahlund,1 hr and 12 mins,29-03-17,swedish,Not rated yet,200.00
El oso que leía niños,Writtenby:GonzaloMoureTrenor,Narratedby:NuriaSamsó,31 mins,13-08-20,spanish,Not rated yet,38.00
Der kleine Drache Kokosnuss feiert Weihnachten (Englisch lernen mit dem kleinen Drachen Kokosnuss 4),Writtenby:IngoSiegner,"Narratedby:PhilippSchepmann,RobertMetcalf",1 hr and 12 mins,30-09-19,german,Not rated yet,233.00
Brave the Page,Writtenby:NationalNovelWritingMonth,"Narratedby:RonButler,JasonReynolds,MarissaMeyer,",4 hrs and 46 mins,27-08-19,English,Not rated yet,754.00
Cuentos Miau Bilingüe para Niños 2,Writtenby:EdicionesJaguar,"Narratedby:AlondraGarcía,CarlosZertuche,ArturoMercadoJr.,",13 mins,29-09-20,spanish,Not rated yet,99.00
Cuentos Miau Bilingüe para Niños 1,Writtenby:EdicionesJaguar,"Narratedby:IgnacioPerez,CarlosZertuche",18 mins,29-09-20,spanish,Not rated yet,166.00
Willow the Armadillo,Writtenby:MarilouReeder,Narratedby:fullcast,7 mins,12-05-20,English,Not rated yet,234.00
Teaching Pinkie,Writtenby:EileenSpinelli,Narratedby:HighlightsforChildren,1 min,21-08-18,English,Not rated yet,46.00
Fish & Chips,Writtenby:AdamWard,Narratedby:SimonJackson,1 hr and 24 mins,19-08-20,English,Not rated yet,211.00
Creepy Schools,Writtenby:KathrynCamisa,Narratedby:MichaelGillick,5 mins,28-01-20,English,Not rated yet,234.00
Kids Learn Spanish: What Should I Wear? (Clothing),"Writtenby:KimMitzoThompson,KarenMitzoHilderbrand,TwinSisters",Narratedby:TwinSisters,6 mins,27-06-12,English,Not rated yet,70.00
Kids Learn Spanish: My Grandmother Likes to Cook (Food),"Writtenby:KimMitzoThompson,KarenMitzoHilderbrand,TwinSisters",Narratedby:TwinSisters,9 mins,27-06-12,English,Not rated yet,70.00
Kids Learn Spanish: At the Zoo (Counting),"Writtenby:KimMitzoThompson,KarenMitzoHilderbrand,TwinSisters",Narratedby:TwinSisters,14 mins,27-06-12,English,Not rated yet,70.00
German and Italian,"Writtenby:TwinSisters,KimMitzoThompson,KarenMitzoHilderbrand",Narratedby:TwinSisters,1 hr and 4 mins,25-01-12,English,Not rated yet,140.00
Sir Cumference and the Dragon of Pi,Writtenby:CindyNeuschwander,Narratedby:AdamWeber,11 mins,27-11-19,English,Not rated yet,82.00
Sir Cumference and the First Round Table,Writtenby:CindyNeuschwander,Narratedby:AdamWeber,10 mins,29-11-19,English,5 out of 5 stars1 rating,82.00
Sir Cumference and All the King's Tens,Writtenby:CindyNeuschwander,Narratedby:AdamWeber,12 mins,27-11-19,English,Not rated yet,82.00
Tools That Help Me,Writtenby:A.Schaefer,Narratedby:AdamWeber,4 mins,15-05-09,English,Not rated yet,468.00
Multiply By Hand,Writtenby:MarciaFreeman,Narratedby:uncredited,7 mins,14-05-09,English,Not rated yet,468.00
America under Attack,Writtenby:ScottMarquette,Narratedby:uncredited,35 mins,15-06-09,English,Not rated yet,491.00
Hero Law Enforcement Dogs,Writtenby:JenniferBoothroyd,Narratedby:Intuitive,4 mins,17-01-20,English,Not rated yet,164.00
Hospital,Writtenby:JenniferColby,Narratedby:TamaraRyan,5 mins,16-11-19,English,Not rated yet,63.00
Computer Store,Writtenby:JenniferColby,Narratedby:TamaraRyan,4 mins,15-11-19,English,Not rated yet,63.00
Zoo,Writtenby:JenniferColby,Narratedby:TamaraRyan,4 mins,15-11-19,English,Not rated yet,63.00
Don't Sit on the Baby!,Writtenby:HalleyBondy,Narratedby:LisaLarsen,2 hrs and 41 mins,06-09-16,English,Not rated yet,"1,172.00"
"Pre- and Re-, Mis- and Dis-",Writtenby:BrianP.Cleary,Narratedby:Intuitive,3 mins,03-02-20,English,Not rated yet,164.00
"But and For, Yet and Nor",Writtenby:BrianP.Cleary,Narratedby:Intuitive,2 mins,21-01-20,English,Not rated yet,164.00
How I Do My Homework,Writtenby:JenniferBoothroyd,Narratedby:Intuitive,1 min,22-01-20,English,Not rated yet,164.00
Keep Calm!,Writtenby:GinaBellisario,Narratedby:Intuitive,7 mins,24-01-20,English,Not rated yet,164.00
Let's Meet a Dentist,Writtenby:BridgetHeos,Narratedby:Intuitive,5 mins,03-02-20,English,Not rated yet,164.00
Hooray for Farmers!,Writtenby:KurtWaldendorf,Narratedby:Intuitive,1 min,17-01-20,English,Not rated yet,164.00
The Language of Stars,Writtenby:LouiseHawes,Narratedby:KatieSchorr,10 hrs and 5 mins,31-05-16,English,Not rated yet,820.00
Rebel in the Library of Ever,Writtenby:ZenoAlexander,Narratedby:EmilyLawrence,3 hrs and 52 mins,28-07-20,English,Not rated yet,351.00
The Griffin and the Dinosaur,"Writtenby:MarcAronson,AdrienneMayor",Narratedby:GrahamRowat,38 mins,17-03-15,English,Not rated yet,99.00
Library Mouse,Writtenby:DanielKirk,Narratedby:ChrisSorensen,18 mins,13-09-13,English,Not rated yet,63.00
Migración [Migration],Writtenby:RobinNelson,Narratedby:Intuitive,3 mins,17-01-20,spanish,Not rated yet,211.00
Who Stole Mona Lisa?,Writtenby:RuthieKnapp,Narratedby:BarbaraRosenblat,15 mins,09-05-12,English,Not rated yet,305.00
"If You're Not Here, Please Raise Your Hand",Writtenby:KalliDakos,Narratedby:ChristinaMoore,50 mins,14-04-09,English,Not rated yet,305.00
Jane Airhead,Writtenby:KayWoodward,Narratedby:SusieRiddell,3 hrs and 48 mins,16-02-11,English,Not rated yet,349.00
For Which We Stand,Writtenby:JeffFoster,Narratedby:LizaSeneca,3 hrs and 12 mins,01-09-20,English,Not rated yet,492.00
What Is the Women's Rights Movement?,"Writtenby:DeborahHopkinson,WhoHQ",Narratedby:SoneelaNankani,1 hr and 10 mins,03-12-19,English,Not rated yet,351.00
I'm an Activist,Writtenby:WilMara,Narratedby:NnekaOkoye,23 mins,27-08-20,English,Not rated yet,410.00
Curse of the Boggin,Writtenby:D.J.MacHale,"Narratedby:KeithNobbs,MarkBramhall",5 hrs and 16 mins,06-09-16,English,Not rated yet,904.00
Madeline Finn and the Library Dog,Writtenby:LisaPapp,Narratedby:JillFrutkin,7 mins,01-06-17,English,Not rated yet,63.00
Learn Italian for Kids,Writtenby:ProLanguageLearning,Narratedby:ProLanguageLearning,1 hr and 13 mins,13-01-21,English,Not rated yet,375.00
Ладушки. Потешки. Колыбельные,"Writtenby:В.Брюсов,А.Майков,А.Плещеев,","Narratedby:ВячеславГерасимов,ТатьянаТелегина",52 mins,21-12-20,russian,Not rated yet,166.00
School Days,"Writtenby:ShelleyRotner,SheilaM.Kelly",Narratedby:BookBuddyDigitalMedia,3 mins,01-01-21,English,Not rated yet,164.00
Reading Makes You Feel Good,Writtenby:ToddParr,Narratedby:CarolineTurnerCole,4 mins,29-12-20,English,Not rated yet,500.00
Логопедия для малышей,Writtenby:АнтонинаАлискерова,"Narratedby:ТатьянаКорецкая,ВаняЛихачев",3 hrs and 54 mins,11-12-20,russian,Not rated yet,166.00
Magnus Chase and the Sword of Summer,Writtenby:RickRiordan,Narratedby:ChristopherGuetig,15 hrs and 20 mins,06-10-15,English,4.5 out of 5 stars52 ratings,"1,025.00"
Grandparents' Bag of Stories,Writtenby:SudhaMurty,Narratedby:PoonamSrivastav,5 hrs and 5 mins,24-09-21,English,5 out of 5 stars11 ratings,879.00
Magnus Chase and the Hammer of Thor,Writtenby:RickRiordan,Narratedby:KieranCulkin,10 hrs and 30 mins,04-10-16,English,4.5 out of 5 stars37 ratings,820.00
365 Stories from Around the World,Writtenby:OmBooksInternational,Narratedby:VivekMadan,8 hrs and 13 mins,03-04-18,English,4 out of 5 stars20 ratings,617.00
365 Jataka Tales,Writtenby:OmBooksInternational,Narratedby:JimmyXavier,8 hrs and 31 mins,19-06-18,English,4 out of 5 stars9 ratings,526.00
Panchatantra,"Writtenby:PanditVishnuSharma,G.L.Chandiramani",Narratedby:ShernazPatel,7 hrs and 31 mins,08-11-18,English,4.5 out of 5 stars93 ratings,243.00
The Little Mermaid and Other Stories,Writtenby:HansChristianAndersen,"Narratedby:TamsinGreig,StephenMangan",57 mins,04-10-12,English,5 out of 5 stars5 ratings,125.00
365 Panchatantra Stories,Writtenby:AdilMukesh,Narratedby:AartiAneyMenon,7 hrs and 29 mins,03-04-18,English,3.5 out of 5 stars46 ratings,510.00
Frozen,Writtenby:DisneyBookGroup,Narratedby:DisneyBookGroup,32 mins,07-10-20,English,5 out of 5 stars8 ratings,117.00
Percy Jackson and the Greek Heroes,Writtenby:RickRiordan,Narratedby:JesseBernstein,15 hrs and 46 mins,06-08-15,English,5 out of 5 stars24 ratings,820.00
20 Bedtime Stories For Kids,Writtenby:div.,Narratedby:KatieHaigh,1 hr and 36 mins,08-04-16,English,4 out of 5 stars28 ratings,414.00
Bedtime Short Stories for Kids with Great Morals - Fox Serie - Book Age 6-9.,Writtenby:FairyTalesForFamily,Narratedby:ErinJones,3 hrs and 9 mins,03-08-19,English,Not rated yet,501.00
101 Panchtantra Stories,Writtenby:DreamlandPublications,Narratedby:KiranGopalakrishnan,1 hr and 41 mins,11-02-20,English,4 out of 5 stars5 ratings,176.00
Jack And The Beanstalk & Other Stories,Writtenby:BBCAudiobooks,"Narratedby:LennyHenry,SheridanSmith",1 hr and 2 mins,21-11-08,English,4.5 out of 5 stars3 ratings,378.00
The Best of Akbar - Birbal,Writtenby:OmBooksInternational,Narratedby:VivekMadan,1 hr and 7 mins,03-04-18,English,4.5 out of 5 stars96 ratings,284.00
The Complete Fairy Tales of the Brothers Grimm,Writtenby:BrothersGrimm,Narratedby:JürgenFritsche,33 hrs and 29 mins,29-06-18,English,5 out of 5 stars2 ratings,"1,340.00"
Masha and the Bear,Writtenby:PegasusBooks,Narratedby:ShernazPatel,8 mins,14-10-21,English,4.5 out of 5 stars12 ratings,233.00
Ladybird Tales: The Complete Audio Collection,Writtenby:Ladybird,Narratedby:WayneForester,5 hrs and 5 mins,23-02-17,English,4.5 out of 5 stars8 ratings,615.00
The Ickabog,Writtenby:J.K.Rowling,Narratedby:StephenFry,7 hrs and 52 mins,10-11-20,English,4.5 out of 5 stars181 ratings,799.00
Cinderella,Writtenby:AudibleStudios,Narratedby:TamsinGreig,18 mins,04-10-12,English,4.5 out of 5 stars28 ratings,95.00
Bedtime Stories for Kids,Writtenby:MamallaNoble,Narratedby:JoanaGarcia,24 hrs and 11 mins,04-11-19,English,2 out of 5 stars1 rating,"1,003.00"
The Girl Who Drank the Moon,Writtenby:KellyBarnhill,Narratedby:ChristinaMoore,9 hrs and 31 mins,01-03-18,English,4.5 out of 5 stars25 ratings,645.00
Best Indian Tales and Stories for Kids,Writtenby:div.,Narratedby:KatieHaigh,27 mins,08-04-16,English,3.5 out of 5 stars9 ratings,187.00
Rapunzel,Writtenby:TheBrothersGrimm,Narratedby:TamsinGreig,13 mins,04-10-12,English,4 out of 5 stars7 ratings,95.00
The Prince and the Sphinx,"Writtenby:CariMeister,LeonardoMeschini,TerryFlahertyPhD",Narratedby:anonymous,10 mins,04-04-22,English,Not rated yet,93.00
The King's Warrior,"Writtenby:JessicaGunderson,CarolineHu",Narratedby:anonymous,24 mins,04-04-22,English,Not rated yet,140.00
"Honestly, Red Riding Hood Was Rotten!",Writtenby:TrishaSpeedShaskan,Narratedby:anonymous,7 mins,04-04-22,English,Not rated yet,82.00
Hänsel und Gretel,Writtenby:BrüderGrimm,Narratedby:ReinerUnglaub,16 mins,04-04-22,german,Not rated yet,99.00
"Spindel, Weberschiffchen und Nadel",Writtenby:BrüderGrimm,Narratedby:ReinerUnglaub,7 mins,04-04-22,german,Not rated yet,65.00
Der Teufel mit den drei goldenen Haaren,Writtenby:BrüderGrimm,Narratedby:ReinerUnglaub,16 mins,04-04-22,german,Not rated yet,99.00
Die goldene Gans,Writtenby:BrüderGrimm,Narratedby:ReinerUnglaub,9 mins,04-04-22,german,Not rated yet,65.00
Die sieben Raben,Writtenby:BrüderGrimm,Narratedby:ReinerUnglaub,6 mins,04-04-22,german,Not rated yet,65.00
Ein Jahr voller Märchen - Der Hörbuch-Kalender - 8. Woche des Jahres (Teil 8/52),Writtenby:div.,Narratedby:JürgenFritsche,1 hr and 24 mins,04-04-22,german,Not rated yet,133.00
Marienkind,Writtenby:BrüderGrimm,Narratedby:ReinerUnglaub,12 mins,04-04-22,german,Not rated yet,65.00
Ein Jahr voller Märchen - Der Hörbuch-Kalender - 5. Woche des Jahres (Teil 5/52),Writtenby:div.,Narratedby:JürgenFritsche,1 hr and 11 mins,04-04-22,german,Not rated yet,133.00
Ein Jahr voller Märchen - Der Hörbuch-Kalender - 7. Woche des Jahres (Teil 7/52),Writtenby:div.,Narratedby:JürgenFritsche,1 hr and 6 mins,04-04-22,german,Not rated yet,133.00
Ein Jahr voller Märchen - Der Hörbuch-Kalender - 6. Woche des Jahres (Teil 6/52),Writtenby:div.,Narratedby:JürgenFritsche,1 hr and 30 mins,04-04-22,german,Not rated yet,133.00
Der Wolf und die sieben Geislein,Writtenby:BrüderGrimm,Narratedby:ReinerUnglaub,6 mins,04-04-22,german,Not rated yet,65.00
Das Waldhaus,Writtenby:BrüderGrimm,Narratedby:ReinerUnglaub,12 mins,04-04-22,german,Not rated yet,65.00
Schneewittchen,Writtenby:BrüderGrimm,Narratedby:ReinerUnglaub,20 mins,04-04-22,german,Not rated yet,99.00
Rotkäppchen,Writtenby:BrüderGrimm,Narratedby:ReinerUnglaub,7 mins,04-04-22,german,Not rated yet,65.00
Der süße Brei,Writtenby:BrüderGrimm,Narratedby:ReinerUnglaub,2 mins,04-04-22,german,Not rated yet,65.00
Framåt,Writtenby:Disney,Narratedby:BenjaminHagberg,2 hrs and 59 mins,05-04-22,swedish,Not rated yet,166.00
En skør historie,Writtenby:SysMatthiesen,Narratedby:DiannaVangsaa,23 mins,05-04-22,danish,Not rated yet,99.00
The Three Princes of Serendip,Writtenby:RodaanAlGalidi,Narratedby:JacobDaniels,1 hr and 51 mins,05-04-22,English,Not rated yet,187.00
Hans Christian Andersen's Fairy Tales,"Writtenby:ErikChristianHaugaard,HansChristianAndersen","Narratedby:F.MurrayAbraham,EdoardoBallerini,MarisaCalin,",5 hrs and 50 mins,27-03-18,English,4.5 out of 5 stars2 ratings,754.00
Best Long Tales and Stories for Kids,Writtenby:div.,Narratedby:KatieHaigh,4 hrs and 22 mins,08-04-16,English,4 out of 5 stars12 ratings,414.00
"The Children's Classic Collection, Vol. 2","Writtenby:LewisCarroll,CharlesPerrault,GeorgeZarr,",Narratedby:fullcast,4 hrs and 55 mins,13-04-21,English,Not rated yet,702.00
Jack and the Beanstalk,Writtenby:BKFKStudio,Narratedby:DanDewes,15 mins,08-02-22,English,Not rated yet,116.00
Rapunzel and Other Stories,Writtenby:AudibleStudios,"Narratedby:TamsinGreig,StephenMangan",54 mins,04-10-12,English,5 out of 5 stars1 rating,140.00
Fairy Tales Every Child Should Know,Writtenby:HamiltonWrightMabie,Narratedby:SamanthaWorthen,11 hrs and 6 mins,07-02-12,English,5 out of 5 stars1 rating,836.00
Camp Jupiter Classified,Writtenby:RickRiordan,Narratedby:ErinCahill,1 hr and 31 mins,07-05-20,English,4.5 out of 5 stars15 ratings,615.00
Fifty Famous Fairy Tales,Writtenby:RosemaryKingston-editor,Narratedby:MargueriteGavin,6 hrs and 27 mins,09-12-04,English,4 out of 5 stars4 ratings,702.00
Disney Classics,Writtenby:DisneyBookGroup,Narratedby:DisneyBookGroup,33 mins,07-10-20,English,Not rated yet,117.00
"Disney Princess: Tangled, Brave, Beauty and the Beast",Writtenby:DisneyBookGroup,Narratedby:DisneyBookGroup,25 mins,07-10-20,English,Not rated yet,117.00
The Hans Christian Andersen Treasury: Bedtime Fairytales,Writtenby:HansChristianAndersen,"Narratedby:JoanCollins,RogerMoore,PaulMcKenna,",1 hr and 21 mins,09-12-21,English,Not rated yet,233.00
Goldilocks,Writtenby:DarcyPattison,Narratedby:JosiahBildner,7 mins,22-07-21,English,Not rated yet,117.00
Mahabharata Stories,Writtenby:DeepaAgarwal,Narratedby:ShivaniVakilSavant,5 hrs and 18 mins,10-03-21,English,4 out of 5 stars1 rating,900.00
Wow Stories,Writtenby:SubbaRao,"Narratedby:AnkitaShrivastav,Alok",29 mins,10-02-22,English,Not rated yet,139.00
The most beautiful fairy tales! The biggest box of all time,Writtenby:div.,"Narratedby:JürgenFritsche,SvenGörtz",64 hrs and 48 mins,16-07-21,English,Not rated yet,"1,340.00"
Tina and Her Magic Kettle,Writtenby:MsNilakshiSengupta,Narratedby:MsPamelaPaul,1 hr and 27 mins,24-03-22,English,Not rated yet,70.00
Sleeping Beauty,Writtenby:MartyRoss,"Narratedby:PhoebeDynevor,StephenFry,AdamHugill,",2 hrs and 32 mins,02-12-21,English,Not rated yet,227.00
"Disney Princess: Little Mermaid, Pocahantas, The Princess and the Frog",Writtenby:DisneyBookGroup,Narratedby:DisneyBookGroup,29 mins,07-10-20,English,Not rated yet,117.00
Wailers Three,Writtenby:Greystroke,Narratedby:SagarArya,7 mins,23-12-21,English,Not rated yet,32.00
Ganesha ke Sahasik Kaarname [The Adventures of Ganesha],Writtenby:MrsRashmiSundaram,"Narratedby:MrSumitKaul,MasterSidhSundaram,MrsRashmiSundaram",38 mins,05-04-21,Hindi,Not rated yet,139.00
Alexa y el collar de la diosa luna,Writtenby:AlejandroKhan,Narratedby:MartaAlmazán,55 mins,11-01-22,spanish,Not rated yet,76.00
Rai-taro,Writtenby:KarlAlbrechtHeise,Narratedby:KarlheinzGabor,10 mins,04-01-22,german,Not rated yet,32.00
The Sorcerer's Apprentice,Writtenby:BKFKStudio,Narratedby:GrantSwanby,9 mins,08-02-22,English,Not rated yet,116.00
Les Schtroumpfs - Histoires de 3 minutes,"Writtenby:Peyo,AurélieDupont",Narratedby:ClaudeRoberval,44 mins,02-02-22,french,Not rated yet,263.00
Rumpelstiltskin,Writtenby:TheBrothersGrimm,Narratedby:PhilChenevert,7 mins,23-09-21,English,Not rated yet,93.00
Nava Durga,Writtenby:NaliniRamachandran,Narratedby:RohiniVij,2 hrs and 6 mins,15-10-21,English,5 out of 5 stars1 rating,377.00
We Are Water Protectors,"Writtenby:CaroleLindstrom,MichaelaGoade-illustrator",Narratedby:CaroleLindstrom,11 mins,22-06-21,English,Not rated yet,13.00
Le Petit Prince [The Little Prince],Writtenby:AntoinedeSaint-Exupéry,Narratedby:YvesRaeber,1 hr and 19 mins,06-07-21,french,Not rated yet,234.00
The Jade Dragon,"Writtenby:JessicaGunderson,CarolineHu",Narratedby:anonymous,19 mins,01-04-22,English,Not rated yet,140.00
Princess Harper Gets Happy,"Writtenby:MollyMartin,MélanieFlorian",Narratedby:anonymous,2 mins,01-04-22,English,Not rated yet,82.00
The Frog Prince,"Writtenby:EricBlair,ToddOuren",Narratedby:anonymous,4 mins,01-04-22,English,Not rated yet,93.00
Puss in Boots,"Writtenby:EricBlair,ToddOuren",Narratedby:anonymous,4 mins,01-04-22,English,Not rated yet,93.00
The Horse on the Hill,Writtenby:JessicaGunderson,Narratedby:anonymous,25 mins,01-04-22,English,Not rated yet,140.00
The Pied Piper,"Writtenby:EricBlair,BenPeterson",Narratedby:anonymous,4 mins,01-04-22,English,Not rated yet,93.00
"Truthfully, Something Smelled Fishy!","Writtenby:JessicaGunderson,GeraldGuerlais",Narratedby:anonymous,7 mins,01-04-22,English,Not rated yet,82.00
"Seriously, Cinderella Is So Annoying!",Writtenby:TrishaSpeedShaskan,Narratedby:anonymous,7 mins,01-04-22,English,Not rated yet,82.00
The Terracotta Girl,"Writtenby:JessicaGunderson,CarolineHu",Narratedby:anonymous,25 mins,01-04-22,English,Not rated yet,140.00
The Legend of UFOs,"Writtenby:ElizabethTucker,TerryFlahertyPhD,ThomasKingsleyTroupe",Narratedby:anonymous,7 mins,01-04-22,English,Not rated yet,93.00
The Truth About Trolls,"Writtenby:BridgetTaylor,ElizabethTucker,TerryFlahertyPhD,",Narratedby:anonymous,4 mins,01-04-22,English,Not rated yet,93.00
Die Sterntaler,Writtenby:BrüderGrimm,"Narratedby:FriedrichSchoenfelder,FranziskaPigulla",2 mins,30-03-22,german,Not rated yet,65.00
Maxima von Abundancia,Writtenby:ViolaSonntag,Narratedby:ViolaSonntag,2 hrs and 23 mins,29-03-22,german,Not rated yet,367.00
Belles vintereventyr,"Writtenby:Disney,TineS.Norbøll",Narratedby:AnnevigScheldeEbbe,6 mins,29-03-22,danish,Not rated yet,32.00
Le feuilleton d'Artémis,"Writtenby:MurielleSzac,OliviaSautreuil",Narratedby:MurielleSzac,11 hrs and 39 mins,31-03-22,french,Not rated yet,870.00
プリンセスシリーズ「ラプンツェル」,"Writtenby:グリム兄弟,中島孤島訳",Narratedby:沢実那子,14 mins,31-03-22,japanese,Not rated yet,139.00
Hans Christian Andersen's Fairy Tales,"Writtenby:HansChristianAndersen,NaomiLewis,JanPienkowski",Narratedby:JonahHauer-King,4 hrs and 35 mins,31-03-22,English,Not rated yet,615.00
Disney Junior,Writtenby:DisneyBookGroup,Narratedby:DisneyBookGroup,25 mins,07-10-20,English,Not rated yet,117.00
Tina and Her Magic Kettle (Bengali Version),Writtenby:MsNilakshiSengupta,Narratedby:MsNilakshiSengupta,1 hr and 33 mins,31-03-22,English,Not rated yet,70.00
Three Little Pigs,Writtenby:Child'sPlay,Narratedby:Child'sPlay,7 mins,22-04-21,English,Not rated yet,140.00
Haunted Cemeteries Around the World,Writtenby:AliciaZ.Klepeis,Narratedby:anonymous,26 mins,25-02-22,English,Not rated yet,93.00
The Princess and the Tower,"Writtenby:MichaelDahl,SvetlanaZhurkin",Narratedby:anonymous,4 mins,26-03-22,English,Not rated yet,93.00
Fábulas para Niños [Fables for Children],Writtenby:SomosMamás,Narratedby:SomosMamás,1 hr and 21 mins,28-03-22,spanish,Not rated yet,70.00
101 Best Indian Fables for Children,Writtenby:StutiGupta,Narratedby:SunandhaRaghunathan,2 hrs and 26 mins,03-12-19,English,4 out of 5 stars3 ratings,Free
Camp Half-Blood Confidential,Writtenby:RickRiordan,Narratedby:JesseBernstein,3 hrs and 22 mins,04-05-17,English,5 out of 5 stars12 ratings,478.00
How the Sea Became Salty,Writtenby:SudhaMurty,"Narratedby:NehaFaraz,SumitKritarth",10 mins,23-04-20,English,5 out of 5 stars32 ratings,200.00
Every Leaf a Hallelujah,Writtenby:BenOkri,Narratedby:BenOkri,52 mins,14-10-21,English,Not rated yet,315.00
A Basketful of Animal Tales,Writtenby:SreelataMenon,Narratedby:DelraazBunshah,3 hrs and 32 mins,10-03-21,English,Not rated yet,900.00
August of the Zombies,Writtenby:K.G.Campbell,Narratedby:ToddHaberkorn,7 hrs and 28 mins,25-01-22,English,Not rated yet,754.00
The Girl Who Talked to Trees,Writtenby:NatashaFarrant,Narratedby:SophieRoberts,2 hrs and 30 mins,11-11-21,English,Not rated yet,318.00
Grimm's Fairy Stories,"Writtenby:TheBrothersGrimm,MargaretHunt-translator",Narratedby:JoannaDaniel,5 hrs and 20 mins,21-02-12,English,5 out of 5 stars2 ratings,668.00
Homer's Iliad and the Odyssey,Writtenby:GillianCross,Narratedby:LeightonPugh,4 hrs and 55 mins,24-04-19,English,5 out of 5 stars4 ratings,569.00
The Last Fallen Star,Writtenby:GraciKim,Narratedby:SuzieYeung,9 hrs and 4 mins,11-05-21,English,4.5 out of 5 stars2 ratings,586.00
The Adventures of Ganesha,Writtenby:MrsRashmiSundaram,"Narratedby:MrSumitKaul,MasterSidhSundaram,MrsRashmiSundaram",32 mins,05-04-21,English,Not rated yet,139.00
Jack and the Beanstalk,Writtenby:BarbaraVagnozzi,Narratedby:Child'sPlay,5 mins,29-04-21,English,Not rated yet,140.00
Aladdin and His Magic Lamp,Writtenby:HaithamAl-Khawaja,Narratedby:RobPenman,40 mins,07-08-20,English,Not rated yet,190.00
The Emperor's New Clothes,"Writtenby:BKFKStudio,HansChristianAndersen",Narratedby:DanDewes,12 mins,08-02-22,English,Not rated yet,116.00
The Bearded Fool,Writtenby:BKFKStudio,Narratedby:GrantSwanby,7 mins,08-02-22,English,Not rated yet,116.00
Aladdin,Writtenby:BKFKStudio,Narratedby:DanDewes,12 mins,08-02-22,English,Not rated yet,116.00
The Fisherman and the Bottle,Writtenby:BKFKStudio,Narratedby:GrantSwanby,9 mins,08-02-22,English,Not rated yet,116.00
The Boy Who Cried Wolf,"Writtenby:Aesop,BKFKStudio",Narratedby:GrantSwanby,5 mins,08-02-22,English,Not rated yet,116.00
The Valiant Tailor,Writtenby:BKFKStudio,Narratedby:GrantSwanby,8 mins,08-02-22,English,Not rated yet,116.00
Sorellanza,Writtenby:MartinaPace,Narratedby:GiuliaSegreti,10 mins,08-02-22,italian,Not rated yet,75.00
Les trois cochons petits et le méchant grand loup,Writtenby:PierreBertrand,Narratedby:PatriceBaudrier,7 mins,09-02-22,french,Not rated yet,187.00
Fjaðrirnar þrjár,"Writtenby:TheódórÁrnason-Übersetzer,Grimmsbræður",Narratedby:ÁrniBeinteinnÁrnason,8 mins,27-01-22,icelandic,Not rated yet,32.00
Сказки о богатырской силе и доблести,Writtenby:Коллективавторов,Narratedby:ЕфимКаменецкий,3 hrs and 25 mins,27-01-22,russian,Not rated yet,99.00
Bláa ljósið,"Writtenby:Grimmsbræður,TheódórÁrnason-Übersetzer",Narratedby:ÁrniBeinteinnÁrnason,12 mins,27-01-22,icelandic,Not rated yet,32.00
